Category,Result,Score
Market Concentration,Low,5
Market Concentration,Moderate,3
Market Concentration,High,1
Industry Growth,Minimal,1
Industry Growth,Low,2
Industry Growth,Moderate,3
Industry Growth,High,4
Industry Growth,Significant,5
Barriers to Entry,Low,1
Barriers to Entry,Moderate,3
Barriers to Entry,High,5
Industry Size,Minimal,1
Industry Size,Low,2
Industry Size,Moderate,3
Industry Size,High,4
Industry Size,Significant,5
Profit Margins,Minimal,1
Profit Margins,Low,2
Profit Margins,Moderate,3
Profit Margins,High,4
Profit Margins,Significant,5
Customer Concentration,Minimal,5
Customer Concentration,Low,4
Customer Concentration,Moderate,3
Customer Concentration,High,2
Customer Concentration,Significant,1
