Category,JSON Field,Lower,Upper,Rating,Units
Industry Growth,revenue_cagr_value_projected,-100,-0.225,Minimal,%
Industry Growth,revenue_cagr_value_projected,-0.225,1.26,Low,%
Industry Growth,revenue_cagr_value_projected,1.26,1.8,Moderate,%
Industry Growth,revenue_cagr_value_projected,1.8,3.1325,High,%
Industry Growth,revenue_cagr_value_projected,3.1325,100,Significant,%
Industry Size,revenue_dollars,0,"1733500000",Minimal,$
Industry Size,revenue_dollars,"1733500000","5578250000",Low,$
Industry Size,revenue_dollars,"5578250000","14965750000",Moderate,$
Industry Size,revenue_dollars,"14965750000","48232562500",High,$
Industry Size,revenue_dollars,"48232562500","999999999999",Significant,$
Profit Margins,profit_margins_percentage,-100,4.5,Minimal,%
Profit Margins,profit_margins_percentage,4.5,5.8,Low,%
Profit Margins,profit_margins_percentage,5.8,8,Moderate,%
Profit Margins,profit_margins_percentage,8,14.65,High,%
Profit Margins,profit_margins_percentage,14.65,100,Significant,%
Customer Concentration,leading segment_percentage,0,54.3875,Minimal,%
Customer Concentration,leading segment_percentage,54.3875,65.975,Low,%
Customer Concentration,leading segment_percentage,65.975,80.025,Moderate,%
Customer Concentration,leading segment_percentage,80.025,90,High,%
Customer Concentration,leading segment_percentage,90,100,Significant,%
